name	genre	developer	ESRB_classification
The Legend of Zelda: Breath of the Wild	Action-adventure	Nintendo	E10+
Cyberpunk 2077	Action role-playing	CD Projekt Red	M
Elden Ring	Action RPG	FromSoftware	M
Devil May Cry 5	Hack and slash	Capcom	M
